项目点表区域划分,,,,,,,,,,,,,,
分类,分组,序号,区域,区域,描述,开始M_ID,结束M_ID,开始M_ID（B）,结束M_ID（B）,开始相对id,结束相对id,总点量,配点初始点,初始16进制
总点,,,,,遥信点号,0x01000000,0x01005000,16777216,16797696,0,20480,20480,,
,,,,,遥测点号,0x02000000,0x02005000,33554432,33574912,0,20480,20480,,
,,,,,遥文点号,0x03000000,0x03001400,50331648,50336768,0,5120,5120,,
系统类,系统,1,系统保留,系统保留,遥信点号,0x01000000,0x010000FF,16777216,16777471,0,255,256,16777247,100001F
,,,,,遥测点号,0x02000000,0x020000FF,33554432,33554687,0,255,256,33554463,200001F
,,,,,遥文点号,0x03000000,0x0300003F,50331648,50331711,0,63,64,50331655,3000007
,,2,系统保留,系统保留,遥信点号,0x01000100,0x010001FF,16777472,16777727,256,511,256,16777503,100011F
,,,,,遥测点号,0x02000100,0x020001FF,33554688,33554943,256,511,256,33554719,200011F
,,,,,遥文点号,0x03000040,0x0300007F,50331712,50331775,64,127,64,50331719,3000047
,,3,系统保留,系统保留,遥信点号,0x01000200,0x010002FF,16777728,16777983,512,767,256,16777759,100021F
,,,,,遥测点号,0x02000200,0x020002FF,33554944,33555199,512,767,256,33554975,200021F
,,,,,遥文点号,0x03000080,0x030000BF,50331776,50331839,128,191,64,50331783,3000087
,,4,系统保留,系统保留,遥信点号,0x01000300,0x010003FF,16777984,16778239,768,1023,256,16778015,100031F
,,,,,遥测点号,0x02000300,0x020003FF,33555200,33555455,768,1023,256,33555231,200031F
,,,,,遥文点号,0x030000C0,0x030000FF,50331840,50331903,192,255,64,50331847,30000C7
,,合计,,,遥信数量,1024,遥测数量,1024,遥文数量,256,,,,
,网络综合,1,门禁,门禁1#,遥信点号,0x01000400,0x010004FF,16778240,16778495,1024,1279,256,16778271,100041F
,,,,,遥测点号,0x02000400,0x020004FF,33555456,33555711,1024,1279,256,33555487,200041F
,,,,,遥文点号,0x03000100,0x0300013F,50331904,50331967,256,319,64,50331911,3000107
,,2,摄录设备,摄录设备1#,遥信点号,0x01000500,0x010005FF,16778496,16778751,1280,1535,256,16778527,100051F
,,,,,遥测点号,0x02000500,0x020005FF,33555712,33555967,1280,1535,256,33555743,200051F
,,,,,遥文点号,0x03000140,0x0300017F,50331968,50332031,320,383,64,50331975,3000147
,,3,摄录设备,摄录设备2#,遥信点号,0x01000600,0x010006FF,16778752,16779007,1536,1791,256,16778783,100061F
,,,,,遥测点号,0x02000600,0x020006FF,33555968,33556223,1536,1791,256,33555999,200061F
,,,,,遥文点号,0x03000180,0x030001BF,50332032,50332095,384,447,64,50332039,3000187
,,4,网络设备,网络设备1#,遥信点号,0x01000700,0x010007FF,16779008,16779263,1792,2047,256,16779039,100071F
,,,,,遥测点号,0x02000700,0x020007FF,33556224,33556479,1792,2047,256,33556255,200071F
,,,,,遥文点号,0x030001C0,0x030001FF,50332096,50332159,448,511,64,50332103,30001C7
,,5,网络设备,网络设备2#,遥信点号,0x01000800,0x010008FF,16779264,16779519,2048,2303,256,16779295,100081F
,,,,,遥测点号,0x02000800,0x020008FF,33556480,33556735,2048,2303,256,33556511,200081F
,,,,,遥文点号,0x03000200,0x0300023F,50332160,50332223,512,575,64,50332167,3000207
,,合计,,,遥信数量,1280,遥测数量,1280,遥文数量,320,,,,
,总计,,,,遥信数量,2304,遥测数量,2304,遥文数量,576,,,,
运输线,火车线,1,火车入厂,火车入厂识别,遥信点号,0x01000900,0x010009FF,16779520,16779775,2304,2559,256,16779551,100091F
,,,,,遥测点号,0x02000900,0x020009FF,33556736,33556991,2304,2559,256,33556767,200091F
,,,,,遥文点号,0x03000240,0x0300027F,50332224,50332287,576,639,64,50332231,3000247
,,2,翻车识别,翻车识别1,遥信点号,0x01000A00,0x01000AFF,16779776,16780031,2560,2815,256,16779807,1000A1F
,,,,,遥测点号,0x02000A00,0x02000AFF,33556992,33557247,2560,2815,256,33557023,2000A1F
,,,,,遥文点号,0x03000280,0x030002BF,50332288,50332351,640,703,64,50332295,3000287
,,3,火车衡器,火车衡器1,遥信点号,0x01000B00,0x01000BFF,16780032,16780287,2816,3071,256,16780063,1000B1F
,,,,,遥测点号,0x02000B00,0x02000BFF,33557248,33557503,2816,3071,256,33557279,2000B1F
,,,,,遥文点号,0x030002C0,0x030002FF,50332352,50332415,704,767,64,50332359,30002C7
,,4,翻车机,翻车机1,遥信点号,0x01000C00,0x01000CFF,16780288,16780543,3072,3327,256,16780319,1000C1F
,,,,,遥测点号,0x02000C00,0x02000CFF,33557504,33557759,3072,3327,256,33557535,2000C1F
,,,,,遥文点号,0x03000300,0x0300033F,50332416,50332479,768,831,64,50332423,3000307
,,5,火车出厂,火车出厂识别1,遥信点号,0x01000D00,0x01000DFF,16780544,16780799,3328,3583,256,16780575,1000D1F
,,,,,遥测点号,0x02000D00,0x02000DFF,33557760,33558015,3328,3583,256,33557791,2000D1F
,,,,,遥文点号,0x03000340,0x0300037F,50332480,50332543,832,895,64,50332487,3000347
,,合计,,,遥信数量,1280,遥测数量,1280,遥文数量,320,,,,
,汽车线,1,汽车入厂,汽车入厂识别1#,遥信点号,0x01000E00,0x01000EFF,16780800,16781055,3584,3839,256,16780831,1000E1F
,,,,,遥测点号,0x02000E00,0x02000EFF,33558016,33558271,3584,3839,256,33558047,2000E1F
,,,,,遥文点号,0x03000380,0x030003BF,50332544,50332607,896,959,64,50332551,3000387
,,2,汽车入厂,汽车入厂识别2#,遥信点号,0x01000F00,0x01000FFF,16781056,16781311,3840,4095,256,16781087,1000F1F
,,,,,遥测点号,0x02000F00,0x02000FFF,33558272,33558527,3840,4095,256,33558303,2000F1F
,,,,,遥文点号,0x030003C0,0x030003FF,50332608,50332671,960,1023,64,50332615,30003C7
,,3,重车识别,重车识别1#,遥信点号,0x01001000,0x010010FF,16781312,16781567,4096,4351,256,16781343,100101F
,,,,,遥测点号,0x02001000,0x020010FF,33558528,33558783,4096,4351,256,33558559,200101F
,,,,,遥文点号,0x03000400,0x0300043F,50332672,50332735,1024,1087,64,50332679,3000407
,,4,重车识别,重车识别2#,遥信点号,0x01001100,0x010011FF,16781568,16781823,4352,4607,256,16781599,100111F
,,,,,遥测点号,0x02001100,0x020011FF,33558784,33559039,4352,4607,256,33558815,200111F
,,,,,遥文点号,0x03000440,0x0300047F,50332736,50332799,1088,1151,64,50332743,3000447
,,5,采机识别,采机识别1#,遥信点号,0x01001200,0x010012FF,16781824,16782079,4608,4863,256,16781855,100121F
,,,,,遥测点号,0x02001200,0x020012FF,33559040,33559295,4608,4863,256,33559071,200121F
,,,,,遥文点号,0x03000480,0x030004BF,50332800,50332863,1152,1215,64,50332807,3000487
,,6,采机识别,采机识别2#,遥信点号,0x01001300,0x010013FF,16782080,16782335,4864,5119,256,16782111,100131F
,,,,,遥测点号,0x02001300,0x020013FF,33559296,33559551,4864,5119,256,33559327,200131F
,,,,,遥文点号,0x030004C0,0x030004FF,50332864,50332927,1216,1279,64,50332871,30004C7
,,7,采机识别,采机识别3#,遥信点号,0x01001400,0x010014FF,16782336,16782591,5120,5375,256,16782367,100141F
,,,,,遥测点号,0x02001400,0x020014FF,33559552,33559807,5120,5375,256,33559583,200141F
,,,,,遥文点号,0x03000500,0x0300053F,50332928,50332991,1280,1343,64,50332935,3000507
,,8,轻车识别,轻车识别1#,遥信点号,0x01001500,0x010015FF,16782592,16782847,5376,5631,256,16782623,100151F
,,,,,遥测点号,0x02001500,0x020015FF,33559808,33560063,5376,5631,256,33559839,200151F
,,,,,遥文点号,0x03000540,0x0300057F,50332992,50333055,1344,1407,64,50332999,3000547
,,9,轻车识别,轻车识别2#,遥信点号,0x01001600,0x010016FF,16782848,16783103,5632,5887,256,16782879,100161F
,,,,,遥测点号,0x02001600,0x020016FF,33560064,33560319,5632,5887,256,33560095,200161F
,,,,,遥文点号,0x03000580,0x030005BF,50333056,50333119,1408,1471,64,50333063,3000587
,,10,备用,备用,遥信点号,0x01001700,0x010017FF,16783104,16783359,5888,6143,256,16783135,100171F
,,,,,遥测点号,0x02001700,0x020017FF,33560320,33560575,5888,6143,256,33560351,200171F
,,,,,遥文点号,0x030005C0,0x030005FF,50333120,50333183,1472,1535,64,50333127,30005C7
,,合计,,,遥信数量,2560,遥测数量,2560,遥文数量,640,,,,
,水路运输,1,,,遥信点号,0x01001800,0x010018FF,16783360,16783615,6144,6399,256,16783391,100181F
,,,,,遥测点号,0x02001800,0x020018FF,33560576,33560831,6144,6399,256,33560607,200181F
,,,,,遥文点号,0x03000600,0x0300063F,50333184,50333247,1536,1599,64,50333191,3000607
,,2,,,遥信点号,0x01001900,0x010019FF,16783616,16783871,6400,6655,256,16783647,100191F
,,,,,遥测点号,0x02001900,0x020019FF,33560832,33561087,6400,6655,256,33560863,200191F
,,,,,遥文点号,0x03000640,0x0300067F,50333248,50333311,1600,1663,64,50333255,3000647
,,3,,,遥信点号,0x01001A00,0x01001AFF,16783872,16784127,6656,6911,256,16783903,1001A1F
